Frame,Time,Rigid Body 1 X,Rigid Body 1 Y,Rigid Body 1 Z,Rigid Body 2 X,Rigid Body 2 Y,Rigid Body 2 Z,Rigid Body 3 X,Rigid Body 3 Y,Rigid Body 3 Z,Rigid Body 4 X,Rigid Body 4 Y,Rigid Body 4 Z
135,1.125,0.021872,0.061147,0.15059,0.021042,0.063005,0.256106,0.027884,0.064428,0.029232,0.021269,0.064218,0.12499
136,1.133333,0.02153,0.061173,0.150495,0.020765,0.062958,0.255586,0.027962,0.064465,0.029712,0.021283,0.064076,0.125205
137,1.141667,0.021785,0.061157,0.150491,0.020503,0.06302,0.254691,0.028031,0.064475,0.030366,0.021074,0.06419,0.125452
138,1.15,0.022101,0.061113,0.150535,0.020202,0.063048,0.254474,0.027918,0.064611,0.030696,0.021241,0.064139,0.125523
139,1.158333,0.022323,0.061033,0.150511,0.019908,0.063037,0.254691,0.027779,0.064676,0.030415,0.02145,0.064217,0.125632
140,1.166667,0.022552,0.060962,0.150658,0.019483,0.063013,0.255691,0.027903,0.064426,0.029216,0.021276,0.064383,0.12543
141,1.175,0.022195,0.061042,0.150497,0.019092,0.062866,0.256228,0.028023,0.064515,0.029246,0.02133,0.064151,0.124957
142,1.183333,0.022,0.061049,0.150516,0.018798,0.062699,0.255391,0.028092,0.0645,0.029853,0.021187,0.064135,0.125278
143,1.191667,0.022318,0.060995,0.150537,0.018644,0.063046,0.254582,0.028041,0.064513,0.030436,0.021123,0.064215,0.125552
144,1.2,0.022485,0.060956,0.150649,0.018326,0.063217,0.254306,0.027822,0.064707,0.030697,0.021317,0.064123,0.125589
145,1.208333,0.02264,0.060888,0.150623,0.017871,0.063112,0.25484,0.027758,0.064655,0.030002,0.021353,0.06435,0.125775
146,1.216667,0.022718,0.060897,0.150693,0.017321,0.062802,0.255923,0.027919,0.064455,0.029088,0.021045,0.064391,0.125272
147,1.225,0.022259,0.060931,0.150561,0.017018,0.062624,0.256126,0.027999,0.064511,0.029292,0.021157,0.064155,0.125085
148,1.233333,0.022345,0.060866,0.150627,0.017026,0.062669,0.255079,0.027928,0.0645,0.029974,0.020971,0.064211,0.125419
149,1.241667,0.02271,0.060838,0.15072,0.017037,0.0632,0.254375,0.027807,0.064645,0.030505,0.021076,0.06423,0.125692
150,1.25,0.022832,0.060805,0.150758,0.016745,0.063307,0.254169,0.027615,0.064842,0.030726,0.021275,0.064231,0.125769
151,1.258333,0.023009,0.060742,0.150808,0.016319,0.063204,0.254999,0.027698,0.064643,0.029675,0.021159,0.06454,0.125927
152,1.266667,0.022906,0.0608,0.150784,0.015825,0.062765,0.256038,0.027899,0.064494,0.029196,0.020902,0.064449,0.125228
153,1.275,0.022458,0.060814,0.150734,0.015739,0.062535,0.255948,0.028013,0.064507,0.029526,0.020986,0.06418,0.125318
154,1.283333,0.022564,0.060769,0.150822,0.015983,0.062856,0.254816,0.027929,0.064507,0.03021,0.020825,0.064254,0.125654
155,1.291667,0.022779,0.060746,0.1509,0.015995,0.063323,0.254129,0.027773,0.064787,0.030672,0.020906,0.064267,0.125873
156,1.3,0.022896,0.060707,0.150832,0.015624,0.063392,0.254128,0.02763,0.064844,0.030617,0.021013,0.064324,0.125954
157,1.308333,0.023167,0.060691,0.150929,0.015067,0.063138,0.255173,0.027788,0.064599,0.029367,0.02077,0.064567,0.125852
158,1.316667,0.022939,0.060779,0.150755,0.014654,0.062678,0.256017,0.027942,0.064616,0.029187,0.020734,0.064393,0.125141
159,1.325,0.02257,0.060784,0.150799,0.014732,0.06253,0.255518,0.027984,0.064592,0.029659,0.020793,0.064326,0.125457
160,1.333333,0.022782,0.060752,0.15084,0.014885,0.062981,0.25442,0.027893,0.064549,0.03035,0.020721,0.064408,0.125778
161,1.341667,0.023033,0.060699,0.150887,0.01463,0.063408,0.253812,0.027809,0.064842,0.030726,0.02085,0.064385,0.125892
162,1.35,0.023217,0.060704,0.150796,0.014119,0.063472,0.254091,0.027791,0.06471,0.030235,0.020946,0.064534,0.12601
163,1.358333,0.023445,0.060697,0.150872,0.013397,0.063124,0.255204,0.027991,0.064566,0.029124,0.020661,0.064665,0.125588
164,1.366667,0.023091,0.06077,0.150692,0.013064,0.062678,0.255713,0.028037,0.064623,0.029159,0.02077,0.064444,0.125162
165,1.375,0.022829,0.060714,0.150802,0.01321,0.06267,0.254857,0.027954,0.064572,0.029788,0.020709,0.064399,0.125573
